Row ID,Order ID,Order Date,Order Month,Order Year,Ship Date,Ship Mode,Customer ID,Customer Name,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
16,KA-2015-118983,11/22/2015,11,2015,26-11-2015,Standard Class,HP-14815,Harold Pawlan,India,Bengaluru,Karnataka,560001,South,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.82
17,TN-2014-105893,11/11/2014,11,2014,18-11-2014,Standard Class,PK-19075,Pete Kriz,India,Chennai,Tamil Nadu,600001,South,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.32
18,DL-2014-167164,5/13/2014,5,2014,15-05-2014,Second Class,AG-10270,Alejandro Grove,India,Delhi,Delhi,110001,North,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,KA-2014-143336,8/27/2014,8,2014,1/9/2014,Second Class,ZD-21925,Zuschuss Donatelli,India,Bengaluru,Karnataka,560001,South,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.48
20,GJ-2014-143336,8/27/2014,8,2014,1/9/2014,Second Class,ZD-21925,Zuschuss Donatelli,India,Ahmedabad,Gujarat,380001,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
21,TS-2014-143336,8/27/2014,8,2014,1/9/2014,Second Class,ZD-21925,Zuschuss Donatelli,India,Hyderabad,Telangana,500001,South,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.38
22,TN-2016-137330,9/12/2016,9,2016,13-12-2016,Standard Class,KB-16585,Ken Black,India,Chennai,Tamil Nadu,600001,South,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.06
23,CH-2016-137330,9/12/2016,9,2016,13-12-2016,Standard Class,KB-16585,Ken Black,India,Chandigarh,Chandigarh,160001,North,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.69
24,AS-2017-156909,7/16/2017,7,2017,18-07-2017,Second Class,SF-20065,Sandra Flanagan,India,Guwahati,Assam,781001,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2,0.3,-1.02
25,BR-2015-106320,9/25/2015,9,2015,30-09-2015,Standard Class,EB-13870,Emily Burns,India,Patna,Bihar,800001,East,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.26
26,KL-2016-121755,1/16/2016,1,2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,India,Kochi,Kerala,682001,South,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22
27,MP-2016-121755,1/16/2016,1,2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,India,Bhopal,Madhya Pradesh,462001,Central,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.77
28,TS-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Hyderabad,Telangana,500001,South,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,1665.05
29,MP-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Bhopal,Madhya Pradesh,462001,Central,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.05
30,MP-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Bhopal,Madhya Pradesh,462001,Central,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.53
31,KA-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Bengaluru,Karnataka,560001,South,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2,0.2,1.1
32,TS-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Hyderabad,Telangana,500001,South,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,0.2,9.71
33,DL-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Delhi,Delhi,110001,North,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,0.7,-5.72
34,RJ-2015-150630,9/17/2015,9,2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,India,Jaipur,Rajasthan,302001,North,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.55
35,MH-2017-107727,10/19/2017,10,2017,23-10-2017,Second Class,MA-17560,Matt Abelman,India,Mumbai,Maharashtra,400001,West,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3,0.2,9.95
36,GJ-2016-117590,8/12/2016,8,2016,10/12/2016,First Class,GH-14485,Gene Hale,India,Ahmedabad,Gujarat,380001,West,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47
37,MH-2016-117590,8/12/2016,8,2016,10/12/2016,First Class,GH-14485,Gene Hale,India,Pune,Maharashtra,411001,West,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96
38,RJ-2015-117415,12/27/2015,12,2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,India,Jaipur,Rajasthan,302001,North,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.42
39,KA-2015-117415,12/27/2015,12,2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,India,Bengaluru,Karnataka,560001,South,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,0.32,-46.98
40,UP-2015-117415,12/27/2015,12,2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,India,Lucknow,Uttar Pradesh,226001,North,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.15
41,UP-2015-117415,12/27/2015,12,2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,India,Lucknow,Uttar Pradesh,226001,North,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.76
42,MH-2017-120999,10/9/2017,10,2017,15-09-2017,Standard Class,LC-16930,Linda Cazamias,India,Mumbai,Maharashtra,400001,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4,0.2,16.56
43,UP-2016-101343,7/17/2016,7,2016,22-07-2016,Standard Class,RA-19885,Ruben Ausman,India,Lucknow,Uttar Pradesh,226001,North,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.89
44,KA-2017-139619,9/19/2017,9,2017,23-09-2017,Standard Class,ES-14080,Erin Smith,India,Bengaluru,Karnataka,560001,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.56
45,MH-2016-118255,11/3/2016,11,2016,13-03-2016,First Class,ON-18715,Odella Nelson,India,Mumbai,Maharashtra,400001,West,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.77
46,DL-2016-118255,11/3/2016,11,2016,13-03-2016,First Class,ON-18715,Odella Nelson,India,Delhi,Delhi,110001,North,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21
47,CH-2014-146703,10/20/2014,10,2014,25-10-2014,Second Class,PO-18865,Patrick O'Donnell,India,Chandigarh,Chandigarh,160001,North,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.48
48,BR-2016-169194,6/20/2016,6,2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,India,Patna,Bihar,800001,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,MH-2016-169194,6/20/2016,6,2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,India,Mumbai,Maharashtra,400001,West,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.1
50,BR-2015-115742,4/18/2015,4,2015,22-04-2015,Standard Class,DP-13000,Darren Powers,India,Patna,Bihar,800001,East,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.96
51,DL-2015-115742,4/18/2015,4,2015,22-04-2015,Standard Class,DP-13000,Darren Powers,India,Delhi,Delhi,110001,North,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.33
52,UP-2015-115742,4/18/2015,4,2015,22-04-2015,Standard Class,DP-13000,Darren Powers,India,Lucknow,Uttar Pradesh,226001,North,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.96
53,TN-2015-115742,4/18/2015,4,2015,22-04-2015,Standard Class,DP-13000,Darren Powers,India,Chennai,Tamil Nadu,600001,South,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.1
54,KL-2016-105816,11/12/2016,11,2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,India,Kochi,Kerala,682001,South,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.26
55,TN-2016-105816,11/12/2016,11,2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,India,Chennai,Tamil Nadu,600001,South,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.69
56,UP-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Lucknow,Uttar Pradesh,226001,North,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,MH-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Pune,Maharashtra,411001,West,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.55
58,BR-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Patna,Bihar,800001,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.1
59,MH-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Pune,Maharashtra,411001,West,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.99
60,AS-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Guwahati,Assam,781001,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,MP-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Bhopal,Madhya Pradesh,462001,Central,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.36
62,MH-2016-111682,6/17/2016,6,2016,18-06-2016,First Class,TB-21055,Ted Butterfield,India,Mumbai,Maharashtra,400001,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,TN-2015-135545,11/24/2015,11,2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,India,Chennai,Tamil Nadu,600001,South,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.15
64,MH-2015-135545,11/24/2015,11,2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,India,Mumbai,Maharashtra,400001,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,0.2,9.36
65,AS-2015-135545,11/24/2015,11,2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,India,Guwahati,Assam,781001,East,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.96
66,KL-2015-135545,11/24/2015,11,2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,India,Kochi,Kerala,682001,South,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.33
67,DL-2015-164175,4/30/2015,4,2015,42129,Standard Class,PS-18970,Paul Stevenson,India,Delhi,Delhi,110001,North,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.22
68,DL-2014-106376,5/12/2014,5,2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,India,Delhi,Delhi,110001,North,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3
69,AS-2014-106376,5/12/2014,5,2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,India,Guwahati,Assam,781001,East,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99
70,RJ-2016-119823,4/6/2016,4,2016,6/6/2016,First Class,KD-16270,Karen Daniels,India,Jaipur,Rajasthan,302001,North,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.66
71,TS-2016-106075,9/18/2016,9,2016,23-09-2016,Standard Class,HM-14980,Henry MacAllister,India,Hyderabad,Telangana,500001,South,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.73
72,RJ-2017-114440,9/14/2017,9,2017,17-09-2017,Second Class,TB-21520,Tracy Blumstein,India,Jaipur,Rajasthan,302001,North,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.76
73,UP-2015-134026,4/26/2015,4,2015,42040,Standard Class,JE-15745,Joel Eaton,India,Lucknow,Uttar Pradesh,226001,North,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8,0.2,114.39
74,KL-2015-134026,4/26/2015,4,2015,42040,Standard Class,JE-15745,Joel Eaton,India,Kochi,Kerala,682001,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.21
75,WB-2015-134026,4/26/2015,4,2015,42040,Standard Class,JE-15745,Joel Eaton,India,Kolkata,West Bengal,700001,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.2
76,AS-2017-118038,9/12/2017,9,2017,11/12/2017,First Class,KB-16600,Ken Brennan,India,Guwahati,Assam,781001,East,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3,0.8,-1.93
77,MH-2017-118038,9/12/2017,9,2017,11/12/2017,First Class,KB-16600,Ken Brennan,India,Mumbai,Maharashtra,400001,West,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3,0.6,-5.82
78,AS-2017-118038,9/12/2017,9,2017,11/12/2017,First Class,KB-16600,Ken Brennan,India,Guwahati,Assam,781001,East,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.72
79,AS-2014-147606,11/26/2014,11,2014,41651,Second Class,JE-15745,Joel Eaton,India,Guwahati,Assam,781001,East,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.48
80,TS-2016-127208,12/6/2016,12,2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,India,Hyderabad,Telangana,500001,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2
81,GJ-2016-127208,12/6/2016,12,2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,India,Ahmedabad,Gujarat,380001,West,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.04
82,GJ-2014-139451,12/10/2014,12,2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,India,Ahmedabad,Gujarat,380001,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.17
83,GJ-2014-139451,12/10/2014,12,2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,India,Ahmedabad,Gujarat,380001,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2
84,MP-2015-149734,3/9/2015,3,2015,8/9/2015,Standard Class,JC-16105,Julie Creighton,India,Bhopal,Madhya Pradesh,462001,Central,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81
85,AS-2017-119662,11/13/2017,11,2017,16-11-2017,First Class,CS-12400,Christopher Schild,India,Guwahati,Assam,781001,East,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95
86,DL-2017-140088,5/28/2017,5,2017,30-05-2017,Second Class,PO-18865,Patrick O'Donnell,India,Delhi,Delhi,110001,North,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.22
87,KA-2017-155558,10/26/2017,10,2017,42777,Standard Class,PG-18895,Paul Gonzalez,India,Bengaluru,Karnataka,560001,South,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.8
88,TS-2017-155558,10/26/2017,10,2017,42777,Standard Class,PG-18895,Paul Gonzalez,India,Hyderabad,Telangana,500001,South,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.96
89,DL-2016-159695,5/4/2016,5,2016,10/4/2016,Second Class,GM-14455,Gary Mitchum,India,Delhi,Delhi,110001,North,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,13.86
90,CH-2016-109806,9/17/2016,9,2016,22-09-2016,Standard Class,JS-15685,Jim Sink,India,Chandigarh,Chandigarh,160001,North,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.63
91,CH-2016-109806,9/17/2016,9,2016,22-09-2016,Standard Class,JS-15685,Jim Sink,India,Chandigarh,Chandigarh,160001,North,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2,0.2,8.28
92,RJ-2016-109806,9/17/2016,9,2016,22-09-2016,Standard Class,JS-15685,Jim Sink,India,Jaipur,Rajasthan,302001,North,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.11
93,UP-2015-149587,1/31/2015,1,2015,42126,Second Class,KB-16315,Karl Braun,India,Lucknow,Uttar Pradesh,226001,North,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.22
94,AS-2015-149587,1/31/2015,1,2015,42126,Second Class,KB-16315,Karl Braun,India,Guwahati,Assam,781001,East,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.54
95,TS-2015-149587,1/31/2015,1,2015,42126,Second Class,KB-16315,Karl Braun,India,Hyderabad,Telangana,500001,South,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.15
96,CH-2017-109484,6/11/2017,6,2017,12/11/2017,Standard Class,RB-19705,Roger Barcio,India,Chandigarh,Chandigarh,160001,North,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,0.7,-3.79
97,BR-2017-161018,9/11/2017,9,2017,11/11/2017,Second Class,PN-18775,Parhena Norris,India,Patna,Bihar,800001,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.54
98,BR-2017-157833,6/17/2017,6,2017,20-06-2017,First Class,KD-16345,Katherine Ducich,India,Patna,Bihar,800001,East,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3,0.2,17.96
99,DL-2016-149223,6/9/2016,6,2016,11/9/2016,Standard Class,ER-13855,Elpida Rittenbach,India,Delhi,Delhi,110001,North,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.59
100,UP-2016-158568,8/29/2016,8,2016,42409,Standard Class,RB-19465,Rick Bensley,India,Lucknow,Uttar Pradesh,226001,North,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7,0.2,22.62
101,UP-2016-158568,8/29/2016,8,2016,42409,Standard Class,RB-19465,Rick Bensley,India,Lucknow,Uttar Pradesh,226001,North,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.2,-10.8
102,MH-2016-158568,8/29/2016,8,2016,42409,Standard Class,RB-19465,Rick Bensley,India,Mumbai,Maharashtra,400001,West,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.8,-3.04
103,GJ-2016-129903,1/12/2016,1,2016,4/12/2016,Second Class,GZ-14470,Gary Zandusky,India,Ahmedabad,Gujarat,380001,West,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.72
104,DL-2015-156867,11/13/2015,11,2015,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,India,Delhi,Delhi,110001,North,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6,0.2,-26.88
105,KL-2015-156867,11/13/2015,11,2015,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,India,Kochi,Kerala,682001,South,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.84
106,GJ-2015-156867,11/13/2015,11,2015,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,India,Ahmedabad,Gujarat,380001,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.88,3,0.7,-25.82
107,MH-2017-119004,11/23/2017,11,2017,28-11-2017,Standard Class,JM-15250,Janet Martin,India,Pune,Maharashtra,411001,West,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8,0.2,17.6
108,RJ-2017-119004,11/23/2017,11,2017,28-11-2017,Standard Class,JM-15250,Janet Martin,India,Jaipur,Rajasthan,302001,North,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.99,1,0.2,2.1
